start_time,away_team,home_team,away_team_score,home_team_score
2025-01-05 00:00:00+00:00,Team.MINNESOTA_TIMBERWOLVES,Team.DETROIT_PISTONS,105.0,119.0
2025-01-05 00:00:00+00:00,Team.PHOENIX_SUNS,Team.INDIANA_PACERS,108.0,126.0
2025-01-05 01:00:00+00:00,Team.NEW_YORK_KNICKS,Team.CHICAGO_BULLS,126.0,139.0
2025-01-05 01:00:00+00:00,Team.UTAH_JAZZ,Team.MIAMI_HEAT,136.0,100.0
2025-01-05 01:00:00+00:00,Team.PORTLAND_TRAIL_BLAZERS,Team.MILWAUKEE_BUCKS,105.0,102.0
2025-01-05 01:00:00+00:00,Team.DENVER_NUGGETS,Team.SAN_ANTONIO_SPURS,122.0,111.0
2025-01-05 01:30:00+00:00,Team.MEMPHIS_GRIZZLIES,Team.GOLDEN_STATE_WARRIORS,113.0,121.0
2025-01-05 03:30:00+00:00,Team.ATLANTA_HAWKS,Team.LOS_ANGELES_CLIPPERS,105.0,131.0
2025-01-05 20:30:00+00:00,Team.BOSTON_CELTICS,Team.OKLAHOMA_CITY_THUNDER,92.0,105.0
2025-01-05 23:00:00+00:00,Team.CHARLOTTE_HORNETS,Team.CLEVELAND_CAVALIERS,105.0,115.0
2025-01-05 23:00:00+00:00,Team.NEW_ORLEANS_PELICANS,Team.WASHINGTON_WIZARDS,110.0,98.0
2025-01-05 23:30:00+00:00,Team.UTAH_JAZZ,Team.ORLANDO_MAGIC,105.0,92.0
2025-01-06 00:00:00+00:00,Team.LOS_ANGELES_LAKERS,Team.HOUSTON_ROCKETS,115.0,119.0
2025-01-06 01:30:00+00:00,Team.SACRAMENTO_KINGS,Team.GOLDEN_STATE_WARRIORS,129.0,99.0
2025-01-07 00:00:00+00:00,Team.PORTLAND_TRAIL_BLAZERS,Team.DETROIT_PISTONS,115.0,118.0
2025-01-07 00:00:00+00:00,Team.PHOENIX_SUNS,Team.PHILADELPHIA_76ERS,109.0,99.0
2025-01-07 00:30:00+00:00,Team.INDIANA_PACERS,Team.BROOKLYN_NETS,113.0,99.0
2025-01-07 00:30:00+00:00,Team.ORLANDO_MAGIC,Team.NEW_YORK_KNICKS,103.0,94.0
2025-01-07 00:30:00+00:00,Team.MILWAUKEE_BUCKS,Team.TORONTO_RAPTORS,128.0,104.0
2025-01-07 01:00:00+00:00,Team.SAN_ANTONIO_SPURS,Team.CHICAGO_BULLS,110.0,114.0
2025-01-07 01:00:00+00:00,Team.DALLAS_MAVERICKS,Team.MEMPHIS_GRIZZLIES,104.0,119.0
2025-01-07 01:00:00+00:00,Team.LOS_ANGELES_CLIPPERS,Team.MINNESOTA_TIMBERWOLVES,106.0,108.0
2025-01-07 03:00:00+00:00,Team.MIAMI_HEAT,Team.SACRAMENTO_KINGS,118.0,123.0
